text,topic,label,score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
gelten ganztag weiterführend schule kind ermöglichen behinderung,Bildung,neutral,0.6708062887191772,"Es gilt, Ganztag und gute weiterführende Schulen für alle Kinder zu ermöglichen, ob mit Behinderungen oder ohne",neutral,0.945123255252838,"Es gilt, Ganztag und gute weiterführende Schulen für alle Kinder zu ermöglichen, ob mit Behinderungen oder ohne",infrastruktur,0.2524471282958984,"[('infrastruktur', 0.25244712829589844), ('gesundheit', 0.1854146271944046), ('bildung', 0.17787420749664307)]"
beratung versorgungsstruktur notwendig,Bildung,neutral,0.6997532248497009,In dieser Zeit sind gute Beratungs- und Versorgungsstrukturen notwendig,neutral,0.9804899096488952,In dieser Zeit sind gute Beratungs- und Versorgungsstrukturen notwendig,bildung,0.2249855548143386,"[('bildung', 0.22498555481433868), ('gesundheit', 0.2183721363544464), ('infrastruktur', 0.17026452720165253)]"
begreifen aufgabe gut regel schaffen gut mensch,Bildung,neutral,0.6613083481788635,"Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen",neutral,0.9864309430122375,"Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen",bildung,0.2552487850189209,"[('bildung', 0.2552487850189209), ('gesundheit', 0.15028966963291168), ('politik und ideologie', 0.14946439862251282)]"
patientin selbstbestimmt informiert grundlage entscheidung treffen pro- blemen wirksam zeitnah durchsetzen krankenkasse,Gesundheit,neutral,0.8184501528739929,"Patientinnen sollen selbstbestimmt und auf informierter Grundlage Entscheidungen treffen und bei Pro- blemen ihre Rechte wirksam und zeitnah durchsetzen können, etwa gegenüber ihrer Krankenkasse",neutral,0.9704868793487548,"Patientinnen sollen selbstbestimmt und auf informierter Grundlage Entscheidungen treffen und bei Pro- blemen ihre Rechte wirksam und zeitnah durchsetzen können, etwa gegenüber ihrer Krankenkasse",bildung,0.2475821822881698,"[('bildung', 0.24758218228816986), ('gesundheit', 0.16907936334609985), ('soziale ursachen', 0.13826888799667358)]"
verständlich information zutat herkunft herstellung ökologisch fußabdruck nötig transpa- renz sorgen,Gesundheit,neutral,0.7775834202766418,"Mit verständlichen Informationen über Zutaten, Herkunft, Herstellung und zum ökologischen Fußabdruck wollen wir für die nötige Transpa- renz sorgen",neutral,0.9887274503707886,"Mit verständlichen Informationen über Zutaten, Herkunft, Herstellung und zum ökologischen Fußabdruck wollen wir für die nötige Transpa- renz sorgen",wissenschaft,0.2170601189136505,"[('wissenschaft', 0.2170601189136505), ('bildung', 0.21227826178073883), ('gesundheit', 0.10830546915531158)]"
verurteilen austritt türkei istanbul-konvention fordern rückgängig,Gesundheit,negativ,0.6167518496513367,"Wir verurteilen den Austritt der Türkei aus der Istanbul-Konvention und fordern sie auf, diesen wieder rückgängig zu machen",neutral,0.9853904247283936,"Wir verurteilen den Austritt der Türkei aus der Istanbul-Konvention und fordern sie auf, diesen wieder rückgängig zu machen",bildung,0.2404638528823852,"[('bildung', 0.24046385288238525), ('gesundheit', 0.22884586453437805), ('politik und ideologie', 0.14938534796237946)]"
mobilität   ff,Infrastruktur,neutral,0.7345952987670898,Mobilität  ff,neutral,0.9647074937820436,Mobilität  ff,gesundheit,0.1990816593170166,"[('gesundheit', 0.1990816593170166), ('soziale ursachen', 0.16917257010936737), ('none', 0.15129977464675903)]"
bürger*inne,Infrastruktur,neutral,0.5624353289604187,Bürger*innen,neutral,0.9872360825538636,Bürger*innen,bildung,0.2327766716480255,"[('bildung', 0.2327766716480255), ('gesundheit', 0.16209794580936432), ('none', 0.14865826070308685)]"
national fußmobilitätsstrategie schaffen barrierefreiheit verkehrssicherheit aufenthaltsqualität fußgänger*inn,Infrastruktur,neutral,0.4862641990184784,"Mit einer nationalen Fußmobilitätsstrategie schaffen wir Barrierefreiheit, Verkehrssicherheit und mehr Aufenthaltsqualität für Fußgänger*innen",neutral,0.9894133806228638,"Mit einer nationalen Fußmobilitätsstrategie schaffen wir Barrierefreiheit, Verkehrssicherheit und mehr Aufenthaltsqualität für Fußgänger*innen",bildung,0.2902059257030487,"[('bildung', 0.2902059257030487), ('gesundheit', 0.24601449072360992), ('politik und ideologie', 0.10862956196069717)]"
erreichen planung inf- rastrukturvorhab auswirkung klima natur umwelt umfassend prüfen berücksichtigen,Klima,neutral,0.7813224196434021,"Wir wollen erreichen, dass vor jeder Planung von Inf- rastrukturvorhaben die Auswirkungen auf Klima, Natur und Umwelt umfassend geprüft und berücksichtigt werden",neutral,0.9874324798583984,"Wir wollen erreichen, dass vor jeder Planung von Inf- rastrukturvorhaben die Auswirkungen auf Klima, Natur und Umwelt umfassend geprüft und berücksichtigt werden",klima,0.2462977468967437,"[('klima', 0.24629774689674377), ('infrastruktur', 0.2141878306865692), ('bildung', 0.16293539106845856)]"
beweislastumkehr absatz,Klima,neutral,0.8779075145721436,Die Beweislastumkehr in Absatz,neutral,0.9727175235748292,Die Beweislastumkehr in Absatz,bildung,0.2564669549465179,"[('bildung', 0.25646695494651794), ('wirtschaft', 0.20439212024211884), ('gesundheit', 0.16455839574337006)]"
grün der*inn familie freischaffende brauchen schnell zuverlässig internet leben,Klima,neutral,0.8222193121910095,"Grün- der*innen, Familien oder Freischaffende - alle brauchen schnelles und zuverlässiges Internet für ihr Leben",neutral,0.9757736325263976,"Grün- der*innen, Familien oder Freischaffende - alle brauchen schnelles und zuverlässiges Internet für ihr Leben",infrastruktur,0.3343828022480011,"[('infrastruktur', 0.3343828022480011), ('bildung', 0.20998547971248627), ('gesundheit', 0.12401509284973145)]"
